beer/brewerId,beer_names,brewer_average
388,"Cantillon Cuvée Des Champions, Cantillon Reed Gueuze Pinot Noir, Monk's Cafe Cuvee De Monk's Gueuze, Cantillon Goldackerl Gueuze, Cantillon Zwanze 2008, Cantillon Mamouche, Cantillon Blåbær Lambik, Cantillon Gueuze 100% Lambic-Bio (Organic Gueuze), Cantillon Faro, Cantillon LH12, Cantillon Vigneronne, Cantillon Fou' Foune, Cantillon Pinot D'Aunis, Cantillon Bruocsella (1900) Grand Cru, Cantillon Iris, Cantillon Monk's Cafe Cuvee Kriek, Cantillon Lou Pepe - Gueuze, Cantillon Don Quijote, Cantillon Gueuze Vélomoteur, Cantillon Brabantiae, Cantillon Loerik, Cantillon Saint Lamvinus Unblended, Cantillon Cuvee Moeder, Cantillon Spuyten Duyvil, Cantillon Lou Pepe - Framboise, Cantillon Saint Lamvinus, Cantillon Crianza Helena, Cantillon Reed Gueuze Muscat, Cantillon Lambic, Cantillon Kriek 100% Lambic, Cantillon Olutravintola Pikkulintu, Cantillon Cuvée De Florian, Cantillon Pikkulinnun Viskilambic, Jean Chris Nomad 2011, Cantillon 50 Degrees North-4 Degrees East, Cantillon Bourgogne Lambic, Cantillon Groseille Lambic, Cantillon Pinot D'Aunis White Grapes, Cantillon Zwanze 2010, Cantillon Tyrnilambic Baie D’Argousier Lambic, Cantillon La Dernière Cuvée Du 89, Cantillon Soleil De Minuit, Cantillon Gueuze 100% Lambic, Cantillon Lou Pepe - Kriek, Cantillon Framboise, Cantillon Rosé De Gambrinus",4.21
5117,"Brown Ale, Burke's Bock, Margaret's Scotch Ale, Big Al, Grand Cru, American Wheat, Smoot's Stout, Fitzgerald's Alt, Harper's American Pale Ale, Wise's Weiss, Punkin Ale, Dick's Kolsch",4.21
5707,"Airbräu Jet A-1, Airbräu Jetstream, Airbräu Kumulus, Airbräu Krampus",4.21
5819,Goss Märzen,4.21
1111,"Pub Draught Ale, Martha's Vineyard Extra Stout",4.2
18225,Belgian Double,4.2
18902,3 Cordilleras Mestiza,4.2
21109,Facer's North Star Porter,4.2
21908,Soldier's Joy IPA,4.2
27870,"Reprise Centennial Red, Divided Sky Rye IPA, Cast Iron Oatmeal Brown",4.2
3405,Summer Solstice,4.2
6657,"Extracto De Malta, Astra Premium Bier",4.2
7350,Brauberger Zeickelbier,4.2
1124,Hefeweizen,4.19
1399,"Fireball, Beyond The Pale",4.19
16026,"Elefantbräu Pilsener, Elefantbräu Weizen",4.19
24007,"Amarillo Mild, Black Swan Cream Stout, Black Swan Porter, Black Swan IPA, Black Swan ESB, Inaugural Old Ale, Maple Oat Ale",4.19
24954,Sarazen,4.19
25860,"508 DIPA, 508 Galaxy Common, 508 Lager, 508 Strong Ale, 508 Montezuma Imperial Stout, 508 Belgian Strong Ale",4.19
27037,"Deadeye, Magnificent Amber, Railsplitter IPA, Gingerbread Brown",4.19
377,"Beam Pumpkin (Jim Beam Barrel Aged), Oak Aged Stout (Blended), Beam Bock (Jim Beam Barrel Aged), Beam Stout (Jim Beam Barrel Aged), Big Woody Barley Wine, Black Rye Bock, Oak Aged Nut Brown (Wine Barrel Aged), Beam Black Rye Bock (Jim Beam Barrel Aged), Beam Scottish Ale (Jim Beam Barrel Aged), Amber Ale, Oatmeal Stout, Czech Imperial Stout, India Pale Ale, Bohemian Pilsner, Blonde, Ukranian Imperial Stout, Double IPA, Oak Aged Imperial Stout (Wine Barrel Aged), Cherry XXXMas Triple Bock, Bavarian Hefeweizen, Ice Axe Ale (Imperial Blonde), Pumpkin Ale, Beam Porter (Jim Beam Barrel Aged), Oak Aged Eisbock (Wine Barrel Aged), Raspberry Wheat, Razz XXXMas Triple Bock",4.19
7626,"Iserlohner Maibock, Iserlohner Winter",4.19
8067,"Dombräu Maibock, Dombräu Styria Dunkl",4.19
216,"Rodenbach Caractère Rouge, Rodenbach Grand Cru, Rodenbach Vin De Céréale, 2007 Vintage Oak Aged Ale (Barrel No. 230), 2009 Vintage Oak Aged Ale (Barrel No. 145), Alexander Rodenbach, 2008 Vintage Oak Aged Ale (Barrel No. 96), Rodenbach Foederbier, Redbach, Rodenbach Classic (Red)",4.18
25260,"Christopher Columbus, Daniel Irons Oatmeal Stout, Foliage Pale Ale, Protector, Barrel Aged Valkyrie, Captain Summer Session, Valkyrie",4.18
8377,Tower Pale Ale,4.18
10930,Kempelier,4.17
13014,"Four, Five, Jesus Juice (Pinot Barrel Aged Three), Abrasive Ale, Schadenfreude - Bourbon Barrel Aged, Bender - Oak Aged, Darkness - Bourbon Barrel Aged, Wet - All The Way, Furious - Oak Aged, Furious, Bender, CynicAle - Birch Aged, Furious - Cherry Wood Aged, Mild, Tea Bagged Bender, One, Darkness - Oak Aged, Three, Coffee Bender, Pentagram, FU Brett Favre, Ashy Cynic, Moe's Bender, One - Bourbon Barrel Aged, Damien, Wet, Hell, Bitter Brewer - Oak Aged, Mole Smoke, Two, Darkness, Abrasive Ale - Cherry Wood Aged, Imperial Brown Eye, CynicAle - Oak Aged, Bender - Bourbon Barrel Aged, Bitter Brewer, Schadenfreude, Cranberry One, SurlyFest, Tea Bagged Bitter Brewer, Smoke, CynicAle",4.17
15524,Lemke Pils,4.17
18116,"Abadessa Helles, Abadessa Export, Slava Pils",4.17
19318,"Henley Amber, Lovibonds Gold Reserve, Henley Gold, 69 IPA, Lovibonds Dark Reserve No 1, Henley Dark",4.17
2170,"Oude Geuze De Cam, Gueze, Oude Kriek De Cam, Oude Lambiek De Cam, Kriekenlambiek De Cam, De Cam Faro, Lambiek De Cam",4.17
24481,"Nelson Sauvin, Roggenator, Sour Kolsch, 724, Basil, Saison De Beaver-Sour Version, Kvass, All About Amber, Pecan Pie Nut Brown Ale, I.Porter.A, Wet Hop Citra Ale, Chamomile Wheat, Saison De Beaver",4.17
8227,"Darkness, Blackout, Farmer's Daughter, Donovan's Red, Fluxcapacitor, Charlie, Onion River Rye, El Jefe, Shut The Hell Up!, Beelzebub, Sass Mouth, Revitalization Rye, Knuckle Dragger, Piston Bitter, Bacchus, Holy Cow IPA, Petit Mutant, Wee Widdle Wabbit, O Positive, Dunkler Stern, Your Mother, Double Twubble, Dark & Dank, Honky, Mortal Sin, Rapture, Grote Bruin, Menage A Trois, Pappy's Secret Stash, Whonky, Nightstalker, Broken Spoke, Thatcher Brook Blonde, Nuggets, Menage-A-Trois, Light Weight, Wild Child, Waterbury Weisse, Tweisse, Moose Knuckle, Holy Moley, The Crusher, Double Dry Hopped Heady Topper, Focal Banger, Celia Pale Ale, Shtüpulator, Harvest Ale, Alena, Shut The Hell Up!/Ouroboros Blend, Celia Saison, Brecky, Hefty Weizen, Sterk Wit, Heathen, Bolton Brown, Panty Dropper, Ouroboros, Celia Framboise, Wellness, Hellbrook, Mis-information, Pappy's Porter, Hellbrook 2010, Uncle Daddy",4.17
10122,"Thunder Bay Imperial Stout, Thunder Bay Motorhead IPA, Thunder Bay Pewano Porter, Thunder Bay Petoskey Pilsner, Thunder Bay Hefeweizen",4.16
16324,"Orkney Blast, Scapa Special, Dark Munro, Orkney Porter, Orkney Best, Orkney IPA",4.16
20729,"High Voltage, Lupulin Rush, Blackhook Prime, 37hr Simcoe SMaSH, 'Fèileadh Air Teine' - Scottish Oatmeal Stout, Orange Sunshine, Double Citra SMaSH, Hoppin' Vice, The Preacher Man's Daughter, Hurricane Harvest Double IPA, Black Sin, La Souris, Thaiphoon Hammer, Window Pane Harvest IPA, Son Of A Preacher Man, Microdot, Hop Mess Monster, Kneecapper IRA, Double Simcoe SMaSH, Hop Mess Monster V2.0, Weezenhammer, Hop Candy",4.16
26384,"Nera Di Fichi - Imperial, Ale - Serie Classica, Nera Imperiale - Serie Strong (Nastro Viola), Eccellente - Serie Strong (Nastro Verde)",4.16
2660,Original Schlüssel Alt,4.16
27802,"Amiral Benson Nelson Sauvin IPA, Mont Salève Barley Wine",4.16
3960,"Big, But Blond Ale, Bock Lager, Otis Alt Ale, Grain Barrel Stout Ale",4.16
154,"Tremont Bitter, Tremont Porter, Tremont Festival Ale",4.15
16031,L'Amalthée,4.15
23076,"Biere De Grimm, Hare's Bride, Sooty Brother, Farmers Daughter, Little Farmer, Clever Hans, Snow Drop, Master Thief, Magic Mirror, The Griffin, Fearless Youth, Old Sultan, Little Red Cap, Stubborn Child, Puss N Boots",4.15
23737,"Saison, Tripel, Cask Aged Maraschino Dubbel, Cask Aged Tripel, Dubbel, Witbier",4.15
24444,"Snow Bunny Blonde, Mount Crumpet Christmas Ale, King Solomon's Imperial Stout, Centennial Martyr Double IPA, Hoosier Beer Geek Double Brown, Hoggy Style Amber, Saint Slater Irish Stout, Hubbard & Cravens Porter, Duke Of Hazzard RyePA, Beneficence Pale Ale, Two Lucys Blackberry Wheat, Nap Town Nut Brown, Long Fang Abbey Ale, Golden Zoe IPA, Sanctaneous Hefeweizen",4.15
25710,"Seizoen, Kili Wit, Seizoen Bretta",4.15
25979,"Descender IPA, Mountain Rescue Pale Ale, Scottish Heart Scotch Ale, Pass Stout",4.15
26704,"Sweet Georgia Brown, Pineapple X-Press, Mighty Joe Young, Santa's Pet Monkey",4.15
2684,"Hair Of The Frog Cherry Porter, Hair Of The Frog Porter",4.15
27919,IPA,4.15
4467,TauernGold Urgold,4.15
5983,"Mönchsambacher Export, Mönchsambacher Weizenbock, Mönchsambacher Lager",4.15
6074,Marzen Original,4.15
17241,"Birra Del Linchetto Birra Dark, Birra Del Linchetto  Lager, Birra Del Linchetto Red Ale",4.14
20091,Drachenblut,4.14
2234,"Strong Oatmeal Stout (S.O.S.), Dunkel Lager",4.14
23876,Dunkel Weizen,4.14
25263,Hawaiian Style Pale Ale,4.14
2652,"Schumacher Alt, Schumacher Latzenbier",4.14
26990,"Coco Loco, Santa Baby, Hop, Drop ‘n Roll, 10 Blocks South, Deceiver, NoDa Rye Z'd, Naughty List, Ramble On Red",4.14
4511,Burgdorfer Aemme,4.14
8984,"EXSB, Flatbac, Knoll Street Porter",4.14
11497,Venom Double IPA,4.13
14340,"Nut Brown Ale, Scourge Of Olde Town IPA, Amber Lager, Victory For Freedom Golden Ale",4.13
18149,"Veritas 001, Veritas 003, Double Red Poppy, Veritas 007, Saints' Red Barn, Sinners Blend 2008, Project X, Amazing Grace Ale, Serpents Stout - Bourbon Barrel-Aged, Saints' Devotion, Veritas 008, Double Cuvee De Tomme, 10 Commandments - Bourbon Barrel-Aged, Vern, Cable Car, Russ, Judgment Day - Bourbon Barrel Aged, Serpent's Stout - Bourbon Barrel Fermented, The Angel's Share - Brandy Barrel-Aged W/ Grapes, Framboise De Amorosa, Avant Garde, Red Barn Ale, Phunky Duck, Road To Helles, Veritas 004, Cuvee De Tomme, Double Raspberry Framboise De Amorosa, 10 Commandments, Devotion Ale, The Angel's Share - Brandy Barrel-Aged, TEA 6, Duck Duck Guava, Carnevale, Veritas 006, Sinners Blend 2010, Serpent's Stout - Bourbon Barrel Aged With Cocoa Nibs And Coffee, Veritas 002, Soured Avant Garde, Veritas 010, Witch's Wit, Red Poppy Ale, Duck Duck Gooze, Veritas 005, The Angel's Share - Bourbon Barrel-Aged, Veritas 009, Gift Of The Magi - Barrel Aged, Sangre Del Cristo, Yellow Bus, Sinners Blend 2009, Just Another Barrel #2, Gift Of The Magi, Serpent's Stout - Port Barrel Aged, Saison Blanc (Pilot Batch), Isabelle Proximus, Deliverance, Serpent's Stout, Lost & Found Abbey Ale, Inferno Ale, The Angel's Share Grand Cru, Cable Car Kriek, Judgment Day, Just Another Barrel",4.13
19610,Mestansky Hradebni Tmave 10,4.13
208,"Westmalle Trappist Tripel, Westmalle Trappist Dubbel, Westmalle Trappist Extra",4.13
22007,"Monumental, Ruskin's, Jubilee",4.13
2434,"Plaza Porter, Honeymoon Wheat Ale, High Altitude Pale Ale",4.13
25423,"The Conscientious Inebriator, Ezra's Brown Ale",4.13
27297,Bacuri Forest,4.13
37,"Orval Trappist Ale, Petite Orval",4.13
8958,"Old Stoatwobbler, Spectrum Black Buffle",4.13
10821,"Brigitta-Bräu Helles, Brigitta-Bräu Schnitt, Brigitta-Bräu Dunkel",4.12
11257,"Chocolate Ale, IPA",4.12
13097,Barossa Brewing The Miller's Lager,4.12
17783,Rainy Day IPA,4.12
18858,"Spring Rite, Blackstone Porter, Fat Tug IPA, Driftwood Ale, Farmhand Ale, Cuvée D'Hiver, Naughty Hildegard ESB, Old Cellar Dweller, Crooked Coast Amber Ale, Brother Bart's Belgian Brown Ale, White Bark, Singularity, Belle Royale, Bird Of Prey, Twenty Pounder, Sartori Harvest IPA",4.12
20682,"TriplIpa, 10 E Lode",4.12
2152,Mohren Bock,4.12
24055,"Easy Rider, Shining Dawn, Farmer's Daughter, Slow Hand",4.12
24133,"Brown Stout, Edinburgh 68/- (7.5%), Midnycht Myld Ale, Minority Ale, Porter No. 1, Robust Porter, East India Pale Pale, Edinburgh 68/- (8.1%), Wheat Beer, Edinburgh Export Stout",4.12
27277,Kvas,4.12
28000,Brutus,4.12
